Date,Company,Number of Jobs,Job Position/Category,Reason Given,Source Link,
2024-01-30,PayPal,"2,500","Fraud detection, risk management, customer support (~9%)","CEO Alex Chriss: 'drive more focus and efficiency, deploy automation, and consolidate our technology.' Automation expanded across key functions.",https://www.cnbc.com/2024/01/30/paypal-will-cut-about-2500-jobs-or-9percent-of-global-workforce.html,
2024-01-30,UPS,"12,000",Management & Contracted Roles,"AI and machine learning are being used to automate tasks previously handled by managers; jobs are considered ""redundant"" and will not return.",https://www.bbc.com/news/business-68144738,"CEO Carol Tomé: cutting 12,000 jobs to save $1B. 'We are going to fit our organization to our strategy and align resources against what's wildly important.' AI cited as enabling management efficiencies."
2024-02-01,Grammarly,230,Mixed / Restructuring,Business restructuring focused on AI-enabled writing and productivity tools. Aligned teams and resources with strategic priorities around AI.,https://techcrunch.com/2024/02/09/grammarly-lays-off-230-employees-as-part-of-a-business-restructuring/,
2024-07-10,Intuit,"1,800","Finance, tax, customer support",AI-assisted workflows across tax and finance products enabling reallocation toward critical strategic areas.,https://www.intuit.com/blog/news-social/investing-in-our-future/,
2024-08-01,Dell Technologies,"12,500","Sales, operations, traditional roles",Reorganized around demand for AI servers and infrastructure. Automation reduced need for some traditional roles in sales and operations.,https://www.business-standard.com/industry/news/tech-layoffs-continue-dell-to-slash-12-5k-jobs-in-restructuring-for-ai-era-124080700628_1.html,
2024-08-27,Klarna,"1,200",Mixed — via hiring freeze and attrition,"CEO Siemiatkowski: workforce dropped from 5,000 to 3,800 (24% in one year) through hiring freeze and natural attrition enabled by AI. AI chatbot doing work of 700 agents. Plans to reach 2,000 employees.",https://www.reuters.com/technology/artificial-intelligence/swedens-klarna-says-ai-chatbots-help-shrink-headcount-2024-08-27/,
2024-10-30,Dropbox,528,"Managers, product design, engineering (~20%)","CEO Drew Houston: trimming bloated areas, building leaner team with bigger focus on AI. Refocused around AI-powered search/productivity tools.",https://blog.dropbox.com/topics/company/an-update-from-drew,
2025-02-01,Workday,"1,750",Mixed (~8.5% of workforce),"CEO Carl Eschenbach: 'Companies everywhere are reimagining how work gets done, and the increasing demand for AI has the potential to drive a new era of growth.' Cuts to prioritize AI investment.",https://www.reuters.com/business/workday-cut-85-its-workforce-2025-02-05/,
2025-04-29,UPS,"20,000",Operational / Network Position,"""Network Reconfiguration"" utilizing increased technology and automation to streamline operations as the company trims Amazon volumes.",https://www.cnn.com/2025/04/29/business/ups-job-cuts,
2025-05-07,CrowdStrike,500,Mixed (~5% of workforce),"CEO George Kurtz memo: 'We're operating in a market and technology inflection point, with AI reshaping every industry, accelerating threats, and evolving customer needs.'",https://www.cnbc.com/2025/05/07/crowdstrike-announces-5percent-job-cuts-says-ai-reshaping-every-industry.html,
2025-05-12,Chegg,248,Operations (22% of workforce),CEO cited 'new realities of AI'; students increasingly using ChatGPT over Chegg. Google AI Overviews restricting web traffic. Filed lawsuit against Google.,https://www.cnbc.com/2025/05/12/chegg-to-lay-off-22percent-of-workforce-as-ai-shakes-up-education-tech-industry.html,
2025-07-01,Microsoft,"15,000",Engineering / Corporate,CEO Satya Nadella memo: company must 'imagine its mission for a new era.' ~30% of code now written by AI. Majority of cuts were programmers. Shifted resources toward AI products.,https://www.cnbc.com/2025/12/21/ai-job-cuts-amazon-microsoft-and-more-cite-ai-for-2025-layoffs.html,
2025-07-01,Recruit Holdings (Indeed/Glassdoor),"1,300",Recruitment / Operations (~6%),CEO: aim to 'simplify hiring using AI and technology and data to reduce manual work.' AI changing job search industry.,https://www.cbsnews.com/news/indeed-glassdoor-layoffs-ai-job-search/,
2025-07-24,Intel,"24,000",Manufacturing / Corporate,Redirected capital toward AI chips and advanced manufacturing. Automation and AI-driven efficiencies reduced workforce needs.,https://www.theverge.com/news/713388/intel-q2-2025-leave-germany-poland-costa-rica,
2025-07-28,TCS,"12,000",IT Services (~2% of workforce),Cut 2% of workforce; responded to shifting demand and influence of automation and AI on IT roles.,https://www.moneycontrol.com/news/business/information-technology/tcs-job-cuts-not-driven-by-margins-says-tcs-ceo-k-krithivasan-13336419.html,
2025-08-01,TikTok,450,Trust & Safety / Content moderation,Shifting focus towards a greater use of AI in content moderation.,https://www.reuters.com/technology/bytedance-cuts-over-700-jobs-malaysia-shift-towards-ai-moderation-sources-say-2024-10-11/,
2025-08-14,Cisco,221,Engineering / Product,Shifting focus toward AI-driven networking and security products. CFO: 'need to pivot more resources into the fastest-growth areas.',https://www.crn.com/news/networking/2025/cisco-layoffs-total-more-than-200-in-bay-area-cut,
2025-09-01,Salesforce,"4,000",Customer support,"CEO Marc Benioff on podcast: 'I reduced it from 9,000 heads to about 5,000 because I need less heads.' AI agents handling ~50% of customer interactions.",https://www.cnbc.com/2025/09/02/salesforce-ceo-confirms-4000-layoffs-because-i-need-less-heads-with-ai.html,
2025-09-01,Fiverr,250,Mixed (~30% of workforce),CEO Micha Kaufman: cuts needed to become 'AI-first company.' AI described as 'coming for your job.' Will exclusively hire individuals proficient in AI.,https://www.reuters.com/technology/online-marketplace-fiverr-lay-off-30-workforce-ai-push-2025-09-15/,
2025-09-01,Just Eat Takeaway,450,Customer service / Operations,Integrating automation and AI into processes; moving manual customer service tasks to automated systems.,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,
2025-09-25,Accenture,"22,000","Roles where reskilling is not ""viable""","Restructuring to align with AI push; part of $865M ""business optimization"" program.",https://investor.accenture.com/~/media/Files/A/accenture-v4/investors/earnings-reports/2025/accenture-fourth-quarter-fiscal-2025-conference-call-transcript-updated-10-8-2025.pdf,CEO Julie Sweet: 'Those we cannot reskill will be exited.' Restructuring tied to AI and automation. Simultaneously grew AI workforce from 40K to 77K.
2025-10-01,Chegg,388,Mixed (45% of remaining workforce),CEO: 'new realities of AI' and diminished traffic from internet search. Declining revenue made cuts unavoidable. AI reshaped student behavior.,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27/,
2025-10-01,Google Cloud,100,Design / User experience,Eliminated design and UX roles; redirected resources toward AI engineering and infrastructure.,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,
2025-10-03,Paycom,500,Payroll / Back-office,First mass layoff in company history. Staff told their roles had been replaced by AI-driven payroll and back-office systems.,https://finance.yahoo.com/news/paycom-lays-off-500-workers-140001477.html,
2025-10-28,Amazon,"14,000",Corporate / Management,SVP Beth Galetti: 'This generation of AI represents the most transformative technology we've encountered since the Internet.' CEO Jassy warned AI would reduce workforce.,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,
2025-10-30,C.H. Robinson,"1,400",Logistics / Operations,"AI-driven tools for pricing, scheduling, shipment tracking. Average headcount down 10.8% YoY. 'Decouple headcount growth from volume growth.'",https://www.reuters.com/business/ch-robinsons-shares-hit-record-high-defying-freight-slump-with-ai-driven-gains-2025-10-30/,
2025-11-01,McKinsey,200,Internal technology / Support,Automated non-client-facing work with AI systems. Offered retraining in AI and data analytics.,https://www.businesstimes.com.sg/companies-markets/mckinsey-cuts-about-200-tech-jobs-shifts-more-roles-ai,
2025-11-04,IBM,"8,000",Corporate / Mixed,CEO Arvind Krishna: AI agents replaced hundreds of back-office roles. Shifted talent toward AI and quantum computing. Layoffs a 'direct outcome of automation.',https://www.slashgear.com/2016679/ibm-lays-off-8000-workers-amidst-ai-revolution-harsh-reality/,
2025-11-26,Allianz,"1,800",Travel insurance division,AI increasingly replacing manual processes in travel insurance division.,https://www.reuters.com/business/world-at-work/allianz-cut-up-1800-jobs-due-ai-advances-says-source-2025-11-26/,
2025-12-01,Omnicom Group,"4,000",Media / Advertising,Major layoffs following acquisition; generative AI as means of 'fresh agility and scale.',https://www.reuters.com/business/media-telecom/omnicom-cut-4000-jobs-shut-several-agencies-after-ipg-takeover-ft-reports-2025-12-01/,
2025-12-30,Agora (Poland),166,Media / Digital (~6.56%),Part of restructuring to improve digital business; AI-related digital transformation.,https://www.metaintro.com/blog/polish-media-giant-agora-cuts-166-jobs,
2026-01-07,Angi (Angie's List),"350 (~12.5% of 2,800)",Customer service / Sales / Marketing,SEC filing stated cuts made 'to reduce operating expenses and optimize the organizational structure in support of long-term growth and in light of AI-driven efficiency improvements.' CEO Jeff Kip had indicated in August 2025 that Angi was investing in AI to facilitate quicker connections between homeowners and service providers. Angi launched AI Helper in June 2025. Expected annual savings of $70-80M.,https://www.businessinsider.com/angi-layoffs-angies-list-cuts-350-jobs-ai-efficiency-gains-2026-1,
2026-01-12,MercadoLibre,119,Mixed / AI expansion,"Laid off 119 people in an AI-expansion move, per Folha de S. Paulo.",https://www.interviewpal.com/layoffs/mercadolibre,
2026-01-13,BlackRock,300,Support / Operations,Shifting resources toward technology and data-driven systems. AI across investment analysis and operations reduced need for traditional support roles.,https://www.reuters.com/legal/transactional/blackrock-cut-around-250-jobs-latest-layoffs-2026-01-13/,
2026-01-22,Autodesk,"1,000",Mixed (~7% of workforce),"Strategic shifts, pivoting toward AI. CEO stated 'these changes are not driven by... an effort to replace people with AI' but redirecting spending to cloud/AI.",https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,
2026-01-26,Nike,775,"Supply chain, digital operations, tech division",AI-driven forecasting reduced staffing needs; automated parts of supply chain and digital operations.,https://www.cnbc.com/2026/01/26/nike-to-lay-off-775-employees-at-us-distribution-centers.html,
2026-01-27,Meta,"1,500",Reality Labs,Efficiency and AI transition: Leadership noted that projects once requiring large teams are being consolidated via AI automation and flatter organizational structures.,https://timesofindia.indiatimes.com/technology/tech-news/meta-is-cutting-hundreds-of-jobs-goes-in-line-with-mark-zuckerbergs-statement-saying-2026-will-see-us-/articleshow/129814404.cms,
2026-01-28,ASML,"1,700",Mixed (~3.8% of workforce),"Efficiency-driven cuts; 'choosing to make these changes at a moment of strength.' Further 1,300 planned.",https://www.reuters.com/business/asml-q4-bookings-beat-expectations-chipmakers-order-more-satisfy-ai-demand-2026-01-28/,
2026-01-28,Amazon,"16,000",Corporate,"SVP Beth Galetti memo: 'This generation of AI is the most transformative technology we've seen since the Internet... We need to be organized more leanly, with fewer layers.'",https://www.cbsnews.com/news/amazon-layoffs-16000-jobs-latest-round/,
2026-01-29,Dow,"4,500",End-to-end processes (~13% of workforce),Streamlining all end-to-end work processes using automation and AI.,https://www.cbsnews.com/news/dow-job-cuts-layoffs-4500-ai-artificial-intelligence-automation/,
2026-02-05,Gemini (crypto exchange),200,Mixed / Operations,"Workforce reduced by roughly 30% since start of 2026 through multiple layoff rounds. Company deploying AI tools to increase productivity. Winklevoss-led exchange lost over $500M in 2025. As of March 1, company employed about 445 people.",https://www.reuters.com/business/world-at-work/gemini-space-station-plans-cut-200-jobs-2026-02-05/,
2026-02-10,Telstra,200,Operations / Restructuring,AI-driven restructure in collaboration with India's Infosys.,https://www.theguardian.com/business/2026/feb/10/telstra-ai-job-cuts-offshore-workforce,
2026-02-11,Baker McKenzie,800,"Support staff (research, marketing, secretarial)",Shift towards AI; cuts primarily affect support staff. Decision followed review of operations aimed at improving efficiency through AI.,https://futurism.com/artificial-intelligence/law-firm-sacks-hundreds-ai,
2026-02-20,Livspace,"1,000 (~12% of ~8,000)",Design / Sales / Operations / Marketing,"Spokesperson: 'We are fundamentally reorganizing our internal operations to become an AI-native agentic organization.' And: 'We've integrated advanced AI agents and automation across our core functions -- Sales, Ops, Design, and Marketing. In many areas, tasks that were previously manual are now handled by intelligent systems.' Layoffs phased over six months as AI agents were tested and deployed. Co-founder Saurabh Jain also departed. Company insisted cuts were 'not a reactive cost-cut' but 'a strategic reallocation of resources.'",https://inc42.com/buzz/livspace-fires-1000-employees-cofounder-quits/,
2026-02-24,Wisetech,"2,000",Software / Internal operations (~30%),CEO Zubin Appoo: 'AI enables greater productivity in less time and with fewer employees.' Integrating AI into customer software and internal operations.,https://www.reuters.com/business/world-at-work/australias-wisetech-global-plans-2000-job-cuts-amid-ai-overhaul-2026-02-24/,
2026-02-26,Ocado,"1,000",Operations / Warehouse (~5%),CEO Tim Steiner: 'We have largely completed a very significant phase of investment in our robotics and automation capabilities.',https://www.msn.com/en-us/money/companies/ocado-shares-tumble-as-boss-warns-of-job-cuts/ar-AA1X71Cc?ocid=finance-verthp-feeds,
2026-03-02,Block,"4,000",Mixed (~40% of workforce),"CEO Jack Dorsey: 'Intelligence tools we're creating, paired with smaller and flatter teams, are enabling a new way of working which fundamentally changes what it means to build and run a company.'",https://insurancenewsnet.com/oarticle/block-to-cut-more-than-4000-jobs-amid-ai-disruption-of-the-workplace,
2026-03-11,Atlassian,"1,600",Mixed (~10% of workforce),CEO Mike Cannon-Brookes internal memo: restructuring to focus on AI and enterprise growth. Repositioning for the 'AI era.',https://www.businessinsider.com/atlassian-layoff-global-workforce-attributes-it-to-the-ai-era-2026-3,
2026-03-13,Meta,"15,800","Recruiting, Sales, Operations, and Reality Labs",Funding AI Infrastructure: Part of a broader restructuring to offset multi-billion dollar investments in AI models (Llama) and data center projects.,https://www.reuters.com/business/world-at-work/meta-planning-sweeping-layoffs-ai-costs-mount-2026-03-14/,
2026-03-17,Messari,Unspecified,Research / Data / Content,"New CEO Diran Li announced pivot to AI-first organization, cutting human roles across research, data, and content production. Former CEO Eric Turner confirmed numerous employees laid off as company intensifies focus on AI-driven products for institutional clients.",https://finance.yahoo.com/news/popular-crypto-firm-quietly-fires-184121372.html,
2026-03-18,ING Group,"1,250",Banking support functions,Roles eliminated as digital banking tools and AI reduced staffing in support functions.,https://nltimes.nl/2026/03/18/ing-cut-1250-jobs-worldwide-950-netherlands-amid-digitalization-push,
2026-03-19,Crypto.com,180,Mixed / Company-wide,CEO Kris Marszalek announced 12% layoff citing enterprise-wide AI integration: 'We are joining the list of companies integrating enterprise-wide AI. Companies that do not make this pivot will immediately fail.' Cuts targeted 'roles that do not adapt in our new world.',https://www.cnbc.com/2026/03/19/crypto-com-layoffs-12percent-ai-job-loss.html,
2026-03-31,Oracle,"20,000-30,000 (est. ~18% of 162,000)",Cloud / Revenue & Health Sciences / SaaS & Virtual Operations / NetSuite India / Engineering,"Oracle began mass layoffs via 6 a.m. termination emails signed 'Oracle Leadership' with no prior notice from HR or managers. TD Cowen estimates 20,000-30,000 affected (~18% of workforce). Hardest-hit: Revenue & Health Sciences and SaaS operations (~30% each), plus NetSuite India Development Centre. Cuts expected to free up $8-10B in cash flow to fund $156B AI data center buildout. Oracle disclosed $2.1B restructuring plan in March 2026 SEC filing. Bloomberg reported March 5 that cuts would target 'roles the company expects it will need less of due to AI.' Oracle declined to comment.",https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,
2026-04-04,Meta,~200,Silicon Valley roles (Burlingame & Sunnyvale),"Strategic shift toward AI: CEO Mark Zuckerberg stated 2026 is the year AI ""dramatically changes how we work,"" emphasizing ""AI-native tooling"" to allow single individuals to do the work of large teams.",https://timesofindia.indiatimes.com/technology/tech-news/meta-layoffs-continue-job-cuts-hit-200-employees-as-per-filings-with-employment-development-department/articleshow/130012074.cms,
